alpha|beta|ServoAngleA|ServoAngleB|ServoAngleC
-26|-23|0|0|0
-25|-23|0|0|0
-24|-23|0|0|0
-23|-23|0|0|0
-22|-23|0|0|0
-21|-23|0|0|0
-20|-23|0|0|0
-19|-23|0|0|0
-18|-23|0|0|0
-17|-23|19.22675853667647|21.929021194591755|82.03148191823487
-16|-23|0|0|0
-15|-23|0|0|0
-14|-23|0|0|0
-13|-23|0|0|0
-12|-23|0|0|0
-11|-23|0|0|0
-10|-23|0|0|0
-9|-23|0|0|0
-8|-23|0|0|0
-7|-23|0|0|0
-6|-23|0|0|0
-5|-23|0|0|0
-4|-23|0|0|0
-3|-23|0|0|0
-2|-23|0|0|0
-1|-23|0|0|0
0|-23|0|0|0
1|-23|0|0|0
2|-23|0|0|0
3|-23|0|0|0
4|-23|0|0|0
5|-23|0|0|0
6|-23|0|0|0
7|-23|0|0|0
8|-23|0|0|0
9|-23|0|0|0
10|-23|0|0|0
11|-23|0|0|0
12|-23|0|0|0
13|-23|0|0|0
14|-23|0|0|0
15|-23|0|0|0
16|-23|0|0|0
17|-23|0|0|0
18|-23|0|0|0
19|-23|0|0|0
20|-23|0|0|0
21|-23|0|0|0
22|-23|0|0|0
23|-23|0|0|0
24|-23|0|0|0
25|-23|0|0|0
26|-23|0|0|0
27|-23|0|0|0
28|-23|0|0|0
29|-23|0|0|0
30|-23|0|0|0
-30|-22|0|0|0
-29|-22|0|0|0
-28|-22|0|0|0
-27|-22|0|0|0
-26|-22|0|0|0
-25|-22|0|0|0
-24|-22|0|0|0
-23|-22|0|0|0
-22|-22|0|0|0
-21|-22|0|0|0
-20|-22|0|0|0
-19|-22|18.36413296815641|23.305142627988978|83.0782757602483
-18|-22|18.777171610443133|22.928465170538743|79.03933990406526
-17|-22|19.22675853667647|22.567137124307692|76.84519813605431
-16|-22|19.712267572299567|22.220454086609593|75.18232426081894
-15|-22|20.23321999493008|21.887761923280834|73.80347196337421
-14|-22|0|0|0
-13|-22|0|0|0
-12|-22|0|0|0
-11|-22|0|0|0
-10|-22|0|0|0
-9|-22|0|0|0
-8|-22|0|0|0
-7|-22|0|0|0
-6|-22|0|0|0
-5|-22|0|0|0
-4|-22|0|0|0
-3|-22|0|0|0
-2|-22|0|0|0
-1|-22|0|0|0
0|-22|0|0|0
1|-22|0|0|0
2|-22|0|0|0
3|-22|0|0|0
4|-22|0|0|0
5|-22|0|0|0
6|-22|0|0|0
7|-22|0|0|0
8|-22|0|0|0
9|-22|0|0|0
10|-22|0|0|0
11|-22|0|0|0
12|-22|0|0|0
13|-22|0|0|0
14|-22|0|0|0
15|-22|0|0|0
16|-22|0|0|0
17|-22|0|0|0
18|-22|0|0|0
19|-22|0|0|0
20|-22|0|0|0
21|-22|0|0|0
22|-22|0|0|0
23|-22|0|0|0
24|-22|0|0|0
25|-22|0|0|0
26|-22|0|0|0
27|-22|0|0|0
28|-22|0|0|0
29|-22|0|0|0
30|-22|0|0|0
-30|-21|0|0|0
-29|-21|0|0|0
-28|-21|0|0|0
-27|-21|0|0|0
-26|-21|0|0|0
-25|-21|0|0|0
-24|-21|0|0|0
-23|-21|0|0|0
-22|-21|0|0|0
-21|-21|0|0|0
-20|-21|17.632382693555215|24.425114901165387|79.63729028110376
-19|-21|18.36413296815641|24.011533471951296|77.213305037879
-18|-21|18.777171610443148|23.614402669194945|75.44412638625961
-17|-21|19.226758536676456|23.232947590481565|74.00051926166635
-16|-21|19.71226757229958|22.866447823700824|72.75979038913064
-15|-21|20.233219994930096|22.514233605548995|71.66007115177086
-14|-21|20.78926140664089|22.175682349019453|70.66495600044951
-13|-21|21.380143524541623|21.85021550523122|69.75086230408614
-12|-21|0|0|0
-11|-21|0|0|0
-10|-21|0|0|0
-9|-21|0|0|0
-8|-21|0|0|0
-7|-21|0|0|0
-6|-21|0|0|0
-5|-21|0|0|0
-4|-21|0|0|0
-3|-21|0|0|0
-2|-21|0|0|0
-1|-21|0|0|0
0|-21|0|0|0
1|-21|0|0|0
2|-21|0|0|0
3|-21|0|0|0
4|-21|0|0|0
5|-21|0|0|0
6|-21|0|0|0
7|-21|0|0|0
8|-21|0|0|0
9|-21|0|0|0
10|-21|0|0|0
11|-21|0|0|0
12|-21|0|0|0
13|-21|0|0|0
14|-21|0|0|0
15|-21|0|0|0
16|-21|0|0|0
17|-21|0|0|0
18|-21|0|0|0
19|-21|0|0|0
20|-21|0|0|0
21|-21|0|0|0
22|-21|0|0|0
23|-21|0|0|0
24|-21|0|0|0
25|-21|0|0|0
26|-21|0|0|0
27|-21|0|0|0
28|-21|0|0|0
29|-21|0|0|0
30|-21|0|0|0
-30|-20|0|0|0
-29|-20|0|0|0
-28|-20|0|0|0
-27|-20|0|0|0
-26|-20|0|0|0
-25|-20|0|0|0
-24|-20|0|0|0
-23|-20|0|0|0
-22|-20|14.94320008152549|26.101409053618042|80.58093134807977
-21|-20|16.2912099778316|25.63097007757183|77.7561361368792
-20|-20|17.632382693555158|25.179078388590526|75.82835939339195
-19|-20|18.36413296815641|24.74482017815309|74.2931935882541
-18|-20|18.77717161044309|24.327345660734984|72.99111994987291
-17|-20|19.2267585366765|23.925864304627545|71.84687603297145
-16|-20|19.712267572299567|23.53964052288452|70.81781344853414
-15|-20|20.23321999493008|23.167989777492075|69.87697878185847
-14|-20|20.789261406640918|22.810275055929964|69.0060421505818
-13|-20|21.380143524541623|22.465903684520896|68.19186003707628
-12|-20|22.005709956773273|22.134324447497775|67.42462065232411
-11|-20|22.665885215046785|21.815024984673215|66.69676292796753
-10|-20|0|0|0
-9|-20|0|0|0
-8|-20|0|0|0
-7|-20|0|0|0
-6|-20|0|0|0
-5|-20|0|0|0
-4|-20|0|0|0
-3|-20|0|0|0
-2|-20|0|0|0
-1|-20|0|0|0
0|-20|0|0|0
1|-20|0|0|0
2|-20|0|0|0
3|-20|0|0|0
4|-20|0|0|0
5|-20|0|0|0
6|-20|0|0|0
7|-20|0|0|0
8|-20|0|0|0
9|-20|0|0|0
10|-20|0|0|0
11|-20|0|0|0
12|-20|0|0|0
13|-20|0|0|0
14|-20|0|0|0
15|-20|0|0|0
16|-20|0|0|0
17|-20|0|0|0
18|-20|0|0|0
19|-20|0|0|0
20|-20|0|0|0
21|-20|0|0|0
22|-20|0|0|0
23|-20|0|0|0
24|-20|0|0|0
25|-20|0|0|0
26|-20|0|0|0
27|-20|0|0|0
28|-20|0|0|0
29|-20|0|0|0
30|-20|0|0|0
-30|-19|0|0|0
-29|-19|0|0|0
-28|-19|0|0|0
-27|-19|0|0|0
-26|-19|0|0|0
-25|-19|0|0|0
-24|-19|12.23563566380308|27.967935582265092|82.2243812487177
-23|-19|13.590482463124658|27.435367714155454|78.53444890956392
-22|-19|14.943200081525504|26.92377758637567|76.36250618497083
-21|-19|16.291209977831613|26.432089328801844|74.69790722851023
-20|-19|17.6323826935552|25.95930302086383|73.31248611722705
-19|-19|18.364132968156397|25.50448874054733|72.10906295999357
-18|-19|18.77717161044312|25.066781201747496|71.03545360509074
-17|-19|19.226758536676456|24.64537491515933|70.05977608621868
-16|-19|19.712267572299567|24.23951981671668|69.16085284109715
-15|-19|20.23321999493011|23.848517315060107|68.32376093876243
-14|-19|20.789261406640918|23.471716715878834|67.53751034168103
-13|-19|21.38014352454165|23.108511986423146|66.79372435175283
-12|-19|22.005709956773302|22.758338828190034|66.08583919976859
-11|-19|22.6658852150468|22.42067202987249|65.40859294135659
-10|-19|23.36066636883814|22.095023076232735|64.75768520512645
-9|-19|0|0|0
-8|-19|0|0|0
-7|-19|0|0|0
-6|-19|0|0|0
-5|-19|0|0|0
-4|-19|0|0|0
-3|-19|0|0|0
-2|-19|0|0|0
-1|-19|0|0|0
0|-19|0|0|0
1|-19|0|0|0
2|-19|0|0|0
3|-19|0|0|0
4|-19|0|0|0
5|-19|0|0|0
6|-19|0|0|0
7|-19|0|0|0
8|-19|0|0|0
9|-19|0|0|0
10|-19|0|0|0
11|-19|0|0|0
12|-19|0|0|0
13|-19|0|0|0
14|-19|0|0|0
15|-19|0|0|0
16|-19|0|0|0
17|-19|0|0|0
18|-19|0|0|0
19|-19|0|0|0
20|-19|0|0|0
21|-19|0|0|0
22|-19|0|0|0
23|-19|0|0|0
24|-19|0|0|0
25|-19|0|0|0
26|-19|0|0|0
27|-19|0|0|0
28|-19|0|0|0
29|-19|0|0|0
30|-19|0|0|0
-30|-18|0|0|0
-29|-18|0|0|0
-28|-18|0|0|0
-27|-18|0|0|0
-26|-18|0|0|0
-25|-18|10.881774792048631|29.436093670215158|79.67465095589117
-24|-18|12.235635663803109|28.859151223549304|77.09167656750093
-23|-18|13.590482463124687|28.304740470341493|75.23902802924653
-22|-18|14.943200081525447|27.771684750686163|73.73959673357145
-21|-18|16.291209977831556|27.258890937946184|72.45780724368065
-20|-18|17.6323826935552|26.765342703292667|71.32634830121752
-19|-18|18.364132968156426|26.29009446199489|70.30597072037348
-18|-18|18.777171610443133|25.832265922466192|69.37140751495193
-17|-18|19.226758536676456|25.391037170327287|68.50525339169008
-16|-18|19.71226757229958|24.96564422915162|67.69491014091382
-15|-18|20.233219994930096|24.555375047480418|66.93090651351378
-14|-18|20.789261406640932|24.159565868404613|66.2059045076466
-13|-18|21.380143524541637|23.777597943738158|65.5140774638103
-12|-18|22.005709956773302|23.408894559720302|64.85070279830475
-11|-18|22.66588521504677|23.052918345434854|64.21188517385205
-10|-18|23.36066636883809|22.709168838829285|63.59436236833826
-9|-18|24.090116873282994|22.377180288457367|62.9953654737509
-8|-18|24.854362206825577|22.056519671929053|62.164693331861336
-7|-18|0|0|0
-6|-18|0|0|0
-5|-18|0|0|0
-4|-18|0|0|0
-3|-18|0|0|0
-2|-18|0|0|0
-1|-18|0|0|0
0|-18|0|0|0
1|-18|0|0|0
2|-18|0|0|0
3|-18|0|0|0
4|-18|0|0|0
5|-18|0|0|0
6|-18|0|0|0
7|-18|0|0|0
8|-18|0|0|0
9|-18|0|0|0
10|-18|0|0|0
11|-18|0|0|0
12|-18|0|0|0
13|-18|0|0|0
14|-18|0|0|0
15|-18|0|0|0
16|-18|0|0|0
17|-18|0|0|0
18|-18|0|0|0
19|-18|0|0|0
20|-18|0|0|0
21|-18|0|0|0
22|-18|0|0|0
23|-18|0|0|0
24|-18|0|0|0
25|-18|0|0|0
26|-18|0|0|0
27|-18|0|0|0
28|-18|0|0|0
29|-18|0|0|0
30|-18|0|0|0
-30|-17|0|0|0
-29|-17|0|0|0
-28|-17|0|0|0
-27|-17|8.192778608129373|31.646214615699435|81.55148903260417
-26|-17|9.532653499865575|30.997415794625205|78.09811213934675
-25|-17|10.881774792048546|30.374208291781287|75.95466454889142
-24|-17|12.235635663803109|29.77520412668529|74.295147475219
-23|-17|13.590482463124616|29.199116186754956|72.90846776130479
-22|-17|14.943200081525504|28.644749634768566|71.70173260881788
-21|-17|16.291209977831627|28.110994233681048|70.62422675181676
-20|-17|17.632382693555257|27.59681747282913|69.64465029275831
-19|-17|18.364132968156383|27.101258397496508|68.74207106178739
-18|-17|18.777171610443133|26.623422058519203|67.90166888651964
-17|-17|19.226758536676456|26.162474510744445|67.1124922951602
-16|-17|19.71226757229958|25.717638299256762|66.3661737384142
-15|-17|20.23321999493008|25.288188380736777|65.65614560100627
-14|-17|20.789261406640932|24.87344843444628|64.97713717701512
-13|-17|21.380143524541637|24.472787523384504|64.32483847909563
-12|-17|22.005709956773273|24.085617071327434|63.69566781030993
-11|-17|22.665885215046757|23.711388125908513|63.08660641097559
-10|-17|23.360666368838153|23.349588881745383|62.30915202185153
-9|-17|24.090116873282973|22.999742440975552|61.300591553333454
-8|-17|24.85436220682555|22.661404791507792|60.315368479619906
-7|-17|25.653587040055065|22.334162985911902|59.35161544960528
-6|-17|26.4880337278601|22.017633506197697|58.407672730195586
-5|-17|0|0|0
-4|-17|0|0|0
-3|-17|0|0|0
-2|-17|0|0|0
-1|-17|0|0|0
0|-17|0|0|0
1|-17|0|0|0
2|-17|0|0|0
3|-17|0|0|0
4|-17|0|0|0
5|-17|0|0|0
6|-17|0|0|0
7|-17|0|0|0
8|-17|0|0|0
9|-17|0|0|0
10|-17|0|0|0
11|-17|0|0|0
12|-17|0|0|0
13|-17|0|0|0
14|-17|0|0|0
15|-17|0|0|0
16|-17|0|0|0
17|-17|0|0|0
18|-17|0|0|0
19|-17|0|0|0
20|-17|0|0|0
21|-17|0|0|0
22|-17|0|0|0
23|-17|0|0|0
24|-17|0|0|0
25|-17|0|0|0
26|-17|0|0|0
27|-17|0|0|0
28|-17|0|0|0
29|-17|0|0|0
30|-17|0|0|0
-30|-16|0|0|0
-29|-16|0|0|0
-28|-16|6.867531161854117|33.352693971502944|79.56494678933191
-27|-16|8.192778608129373|32.65366671671228|76.90978411581274
-26|-16|9.53265349986549|31.982168365982254|75.0135921218477
-25|-16|10.88177479204856|31.3366772017485|73.48285120142825
-24|-16|12.235635663803109|30.71578391369043|72.17686032107254
-23|-16|13.590482463124644|30.11818166815962|71.02592657244796
-22|-16|14.943200081525504|29.54265728391188|69.98947053654472
-21|-16|16.291209977831556|28.988083365555624|69.04139758572697
-20|-16|17.632382693555243|28.45341127052049|68.16374983631539
-19|-16|18.364132968156397|27.937664805069417|67.34354156954107
-18|-16|18.77717161044312|27.43993456093545|66.57102000696074
-17|-16|19.22675853667647|26.959372817354613|65.83863724813925
-16|-16|19.712267572299567|26.495188944175162|65.14040716493585
-15|-16|20.233219994930096|26.046645250808027|64.47148441139379
-14|-16|20.789261406640932|25.613053233407797|63.82787836226916
-13|-16|21.38014352454161|25.19377017910839|63.20625257186225
-12|-16|22.005709956773302|24.788196091609286|62.49930799491679
-11|-16|22.665885215046785|24.395770907088618|61.474225558068
-10|-16|23.360666368838153|24.015971973452245|60.47447070023131
-9|-16|24.090116873282973|23.64831176942726|59.49800993232441
-8|-16|24.8543622068256|23.292335843063164|58.54304237982228
-7|-16|25.653587040055037|22.947620951897413|57.60796226208446
-6|-16|26.488033727860135|22.61377338943423|56.69132897513329
-5|-16|27.358001976559045|22.29042748473067|55.79184297229987
-4|-16|28.26384958907888|21.977244263830244|54.90832612502743
-3|-16|0|0|0
-2|-16|0|0|0
-1|-16|0|0|0
0|-16|0|0|0
1|-16|0|0|0
2|-16|0|0|0
3|-16|0|0|0
4|-16|0|0|0
5|-16|0|0|0
6|-16|0|0|0
7|-16|0|0|0
8|-16|0|0|0
9|-16|0|0|0
10|-16|0|0|0
11|-16|0|0|0
12|-16|0|0|0
13|-16|0|0|0
14|-16|0|0|0
15|-16|0|0|0
16|-16|0|0|0
17|-16|0|0|0
18|-16|0|0|0
19|-16|0|0|0
20|-16|0|0|0
21|-16|0|0|0
22|-16|0|0|0
23|-16|0|0|0
24|-16|0|0|0
25|-16|0|0|0
26|-16|0|0|0
27|-16|0|0|0
28|-16|0|0|0
29|-16|0|0|0
30|-16|0|0|0
-30|-15|4.287462628451507|35.941534417788844|82.1750096182307
-29|-15|5.563280083328166|35.15847505438226|78.23287065509767
-28|-15|6.867531161854075|34.406861575981814|75.95138740377222
-27|-15|8.192778608129373|33.68488242854637|74.21343496399015
-26|-15|9.532653499865518|32.990865458105|72.77314400981719
-25|-15|10.881774792048603|32.32326468914675|71.52640408947052
-24|-15|12.235635663803109|31.68064870280452|70.41747848242993
-23|-15|13.590482463124673|31.0616903765618|69.41238641032922
-22|-15|14.943200081525518|30.465157790379543|68.48859632227789
-21|-15|16.291209977831585|29.889906138211046|67.63025841275675
-20|-15|17.63238269355523|29.33487051102088|66.82572093374799
-19|-15|18.36413296815641|28.79905943923393|66.06612014048548
-18|-15|18.777171610443133|28.281549100206725|65.3445256890046
-17|-15|19.226758536676485|27.781478110744985|64.65539528593652
-16|-15|19.712267572299552|27.298042836554792|63.99421184272664
-15|-15|20.23321999493008|26.830493160352646|63.35723356671302
-14|-15|20.789261406640932|26.378128658564258|62.73982569396398
-13|-15|21.380143524541637|25.940295143435208|61.694359788444366
-12|-15|22.005709956773302|25.51638153320826|60.6764737714389
-11|-15|22.665885215046757|25.105817017984045|59.68393168871572
-10|-15|23.360666368838153|24.708068493136913|58.7147615970255
-9|-15|24.090116873282973|24.322638235828393|57.76721175389109
-8|-15|24.85436220682555|23.949061803351718|56.83971592172445
-7|-15|25.6535870400551|23.586906134835637|55.930865564050876
-6|-15|26.4880337278601|23.235767840303538|55.03938732701274
-5|-15|27.358001976559073|22.895271663286927|54.164124626058594
-4|-15|28.26384958907886|22.565069105170366|53.304022458813904
-3|-15|29.205994237264605|22.24483720125467|52.458114780963584
-2|-15|30.184916253468273|21.934277440190513|51.62551393892649
-1|-15|0|0|0
0|-15|0|0|0
1|-15|0|0|0
2|-15|0|0|0
3|-15|0|0|0
4|-15|0|0|0
5|-15|0|0|0
6|-15|0|0|0
7|-15|0|0|0
8|-15|0|0|0
9|-15|0|0|0
10|-15|0|0|0
11|-15|0|0|0
12|-15|0|0|0
13|-15|0|0|0
14|-15|0|0|0
15|-15|0|0|0
16|-15|0|0|0
17|-15|0|0|0
18|-15|0|0|0
19|-15|0|0|0
20|-15|0|0|0
21|-15|0|0|0
22|-15|0|0|0
23|-15|0|0|0
24|-15|0|0|0
25|-15|0|0|0
26|-15|0|0|0
27|-15|0|0|0
28|-15|0|0|0
29|-15|0|0|0
30|-15|0|0|0
-30|-14|4.287462628451536|37.066123263446656|77.21324467111523
-29|-14|5.563280083328209|36.259333478694714|75.15213105827128
-28|-14|6.8675311618541315|35.48448045131433|73.52208222130969
-27|-14|8.192778608129402|34.73972052009413|72.1470296448118
-26|-14|9.532653499865575|34.02335294318905|70.94424116194395
-25|-14|10.881774792048546|33.333806086768966|69.86695239607977
-24|-14|12.23563566380308|32.66962532823852|68.88566868995233
-23|-14|13.590482463124673|32.02946241093848|67.98037179731662
-22|-14|14.943200081525475|31.41206603619264|67.13673828539376
